loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7062,6.957156658172607,2e-05,9.742790335151988e-05,1,,,,,
0.6405,5.873541355133057,1.9962977396726423e-05,0.0019485580670303975,20,,,,,
0.6087,8.813115119934082,1.9924006235385815e-05,0.003897116134060795,40,,,,,
0.5699,5.3293867111206055,1.988503507404521e-05,0.005845674201091193,60,,,,,
0.6149,6.086319446563721,1.98460639127046e-05,0.00779423226812159,80,,,,,
0.5151,3.913426160812378,1.980709275136399e-05,0.009742790335151987,100,,,,,
0.577,5.305163860321045,1.9768121590023383e-05,0.011691348402182385,120,,,,,
0.4889,5.385676860809326,1.972915042868278e-05,0.013639906469212782,140,,,,,
0.4588,3.673743963241577,1.9690179267342168e-05,0.01558846453624318,160,,,,,
0.511,4.180391788482666,1.965120810600156e-05,0.017537022603273576,180,,,,,
0.6795,4.9391374588012695,1.9612236944660952e-05,0.019485580670303974,200,,,,,
0.6029,3.7461187839508057,1.9573265783320344e-05,0.021434138737334373,220,,,,,
0.5223,3.7931127548217773,1.9534294621979736e-05,0.02338269680436477,240,,,,,
0.5584,4.74067497253418,1.9495323460639128e-05,0.02533125487139517,260,,,,,
0.4736,5.148491382598877,1.945635229929852e-05,0.027279812938425563,280,,,,,
0.5913,10.605203628540039,1.9417381137957912e-05,0.02922837100545596,300,,,,,
0.5917,4.688039302825928,1.9378409976617305e-05,0.03117692907248636,320,,,,,
0.5284,7.268994331359863,1.9339438815276697e-05,0.033125487139516754,340,,,,,
0.4988,6.539196491241455,1.930046765393609e-05,0.03507404520654715,360,,,,,
0.5313,4.291791915893555,1.926149649259548e-05,0.03702260327357755,380,,,,,
0.5256,8.019426345825195,1.9222525331254873e-05,0.03897116134060795,400,,,,,
0.542,5.87469482421875,1.9183554169914265e-05,0.04091971940763835,420,,,,,
0.601,10.526558876037598,1.9144583008573657e-05,0.042868277474668745,440,,,,,
0.5572,4.080399990081787,1.910561184723305e-05,0.04481683554169914,460,,,,,
0.5198,12.426997184753418,1.906664068589244e-05,0.04676539360872954,480,,,,,
0.4852,6.942047595977783,1.9027669524551833e-05,0.04871395167575994,500,,,,,
0.5898,5.601286888122559,1.8988698363211226e-05,0.05066250974279034,520,,,,,
0.503,3.6405563354492188,1.8949727201870618e-05,0.052611067809820736,540,,,,,
0.5416,4.754005432128906,1.891075604053001e-05,0.05455962587685113,560,,,,,
0.571,5.5828752517700195,1.8871784879189402e-05,0.056508183943881525,580,,,,,
0.4905,7.952873229980469,1.8832813717848794e-05,0.05845674201091192,600,,,,,
0.4943,4.943029880523682,1.8793842556508186e-05,0.06040530007794232,620,,,,,
0.5045,10.243060111999512,1.8754871395167578e-05,0.06235385814497272,640,,,,,
0.4882,3.0025835037231445,1.871590023382697e-05,0.06430241621200312,660,,,,,
0.5169,2.389583110809326,1.867692907248636e-05,0.06625097427903351,680,,,,,
0.5456,7.627003192901611,1.8637957911145754e-05,0.0681995323460639,700,,,,,
0.5512,6.653860092163086,1.8598986749805147e-05,0.0701480904130943,720,,,,,
0.4747,10.586854934692383,1.856001558846454e-05,0.0720966484801247,740,,,,,
0.4619,4.246377468109131,1.852104442712393e-05,0.0740452065471551,760,,,,,
0.5065,9.570218086242676,1.8482073265783323e-05,0.0759937646141855,780,,,,,
0.4729,3.868248701095581,1.8443102104442715e-05,0.0779423226812159,800,,,,,
0.5771,5.1144514083862305,1.8404130943102104e-05,0.0798908807482463,820,,,,,
0.5147,5.012687683105469,1.83651597817615e-05,0.0818394388152767,840,,,,,
0.4924,11.737859725952148,1.832618862042089e-05,0.08378799688230709,860,,,,,
0.5556,17.497892379760742,1.8287217459080283e-05,0.08573655494933749,880,,,,,
0.517,3.3589320182800293,1.8248246297739672e-05,0.08768511301636789,900,,,,,
0.4472,11.781412124633789,1.8209275136399068e-05,0.08963367108339829,920,,,,,
0.438,9.052705764770508,1.817030397505846e-05,0.09158222915042868,940,,,,,
0.5141,15.10995864868164,1.8131332813717852e-05,0.09353078721745908,960,,,,,
0.4879,4.284384727478027,1.809236165237724e-05,0.09547934528448948,980,,,,,
0.5017,4.761679649353027,1.8053390491036636e-05,0.09742790335151988,1000,,,,,
0.5323,6.388574600219727,1.8014419329696028e-05,0.09937646141855028,1020,,,,,
0.4499,4.68342924118042,1.7975448168355417e-05,0.10132501948558068,1040,,,,,
0.4977,2.2016801834106445,1.793647700701481e-05,0.10327357755261107,1060,,,,,
0.5443,11.582189559936523,1.7897505845674204e-05,0.10522213561964147,1080,,,,,
0.4435,9.151346206665039,1.7858534684333597e-05,0.10717069368667187,1100,,,,,
0.4182,11.880163192749023,1.7819563522992985e-05,0.10911925175370225,1120,,,,,
0.5081,10.785612106323242,1.7780592361652377e-05,0.11106780982073265,1140,,,,,
0.5322,11.061724662780762,1.7741621200311773e-05,0.11301636788776305,1160,,,,,
0.4539,2.3410818576812744,1.770265003897116e-05,0.11496492595479345,1180,,,,,
0.4699,6.335781097412109,1.7663678877630554e-05,0.11691348402182385,1200,,,,,
0.4308,12.876551628112793,1.7624707716289946e-05,0.11886204208885424,1220,,,,,
0.46,3.485454797744751,1.758573655494934e-05,0.12081060015588464,1240,,,,,
0.4423,5.081765651702881,1.754676539360873e-05,0.12275915822291504,1260,,,,,
0.6134,10.564957618713379,1.7507794232268122e-05,0.12470771628994544,1280,,,,,
0.495,10.619464874267578,1.7468823070927514e-05,0.12665627435697585,1300,,,,,
0.4358,4.166771411895752,1.7429851909586906e-05,0.12860483242400625,1320,,,,,
0.3958,6.924139022827148,1.73908807482463e-05,0.13055339049103662,1340,,,,,
0.4434,17.560476303100586,1.735190958690569e-05,0.13250194855806702,1360,,,,,
0.5112,3.026754379272461,1.7312938425565083e-05,0.13445050662509742,1380,,,,,
0.5269,16.455047607421875,1.7273967264224475e-05,0.1363990646921278,1400,,,,,
0.4301,5.48480224609375,1.7234996102883867e-05,0.1383476227591582,1420,,,,,
0.5063,4.8783860206604,1.719602494154326e-05,0.1402961808261886,1440,,,,,
0.4226,8.992859840393066,1.715705378020265e-05,0.142244738893219,1460,,,,,
0.4014,7.2016520500183105,1.7118082618862043e-05,0.1441932969602494,1480,,,,,
0.4462,5.317895412445068,1.7079111457521435e-05,0.1461418550272798,1500,,,,,
0.5135,3.2726564407348633,1.7040140296180827e-05,0.1480904130943102,1520,,,,,
0.4549,3.2408432960510254,1.700116913484022e-05,0.1500389711613406,1540,,,,,
0.4052,1.4083738327026367,1.696219797349961e-05,0.151987529228371,1560,,,,,
0.3969,3.1736514568328857,1.6923226812159004e-05,0.1539360872954014,1580,,,,,
0.4583,2.6587929725646973,1.6884255650818396e-05,0.1558846453624318,1600,,,,,
0.4068,6.1049652099609375,1.6845284489477788e-05,0.1578332034294622,1620,,,,,
0.5484,6.712507247924805,1.680631332813718e-05,0.1597817614964926,1640,,,,,
0.4381,5.936588287353516,1.6767342166796572e-05,0.161730319563523,1660,,,,,
0.4609,9.66482925415039,1.6728371005455964e-05,0.1636788776305534,1680,,,,,
0.3698,6.171727180480957,1.6689399844115356e-05,0.16562743569758379,1700,,,,,
0.3971,4.751725673675537,1.665042868277475e-05,0.16757599376461418,1720,,,,,
0.533,12.646781921386719,1.661145752143414e-05,0.16952455183164458,1740,,,,,
0.4568,6.504452705383301,1.6572486360093533e-05,0.17147310989867498,1760,,,,,
0.4639,3.318235158920288,1.6533515198752925e-05,0.17342166796570538,1780,,,,,
0.4898,7.0674729347229,1.6494544037412317e-05,0.17537022603273578,1800,,,,,
0.435,3.8422152996063232,1.645557287607171e-05,0.17731878409976617,1820,,,,,
0.4811,4.0669732093811035,1.64166017147311e-05,0.17926734216679657,1840,,,,,
0.4247,8.928796768188477,1.6377630553390493e-05,0.18121590023382697,1860,,,,,
0.4324,9.806148529052734,1.6338659392049885e-05,0.18316445830085737,1880,,,,,
0.39,21.992950439453125,1.6299688230709277e-05,0.18511301636788777,1900,,,,,
0.4062,5.410196781158447,1.626071706936867e-05,0.18706157443491817,1920,,,,,
0.3951,13.715547561645508,1.622174590802806e-05,0.18901013250194856,1940,,,,,
0.4321,12.996103286743164,1.6182774746687454e-05,0.19095869056897896,1960,,,,,
0.3867,2.7004332542419434,1.6143803585346846e-05,0.19290724863600936,1980,,,,,
0.4204,5.385432720184326,1.6104832424006234e-05,0.19485580670303976,2000,,,,,
0.5163,9.368910789489746,1.606586126266563e-05,0.19680436477007016,2020,,,,,
0.3443,2.7689759731292725,1.6026890101325022e-05,0.19875292283710055,2040,,,,,
0.4336,7.656279563903809,1.5987918939984414e-05,0.20070148090413095,2060,,,,,
0.4823,2.5414254665374756,1.5948947778643803e-05,0.20265003897116135,2080,,,,,
0.3871,12.249956130981445,1.59099766173032e-05,0.20459859703819175,2100,,,,,
0.4673,11.11630916595459,1.587100545596259e-05,0.20654715510522215,2120,,,,,
0.3817,10.268226623535156,1.583203429462198e-05,0.20849571317225254,2140,,,,,
0.542,12.550844192504883,1.579306313328137e-05,0.21044427123928294,2160,,,,,
0.4512,7.18440580368042,1.5754091971940767e-05,0.21239282930631334,2180,,,,,
0.3924,2.089073419570923,1.571512081060016e-05,0.21434138737334374,2200,,,,,
0.4279,5.569885730743408,1.5676149649259548e-05,0.2162899454403741,2220,,,,,
0.4802,9.140204429626465,1.563717848791894e-05,0.2182385035074045,2240,,,,,
0.4818,4.731229782104492,1.5598207326578335e-05,0.2201870615744349,2260,,,,,
0.4198,6.0662689208984375,1.5559236165237724e-05,0.2221356196414653,2280,,,,,
0.4064,1.7404990196228027,1.5520265003897116e-05,0.2240841777084957,2300,,,,,
0.4267,7.101833343505859,1.5481293842556508e-05,0.2260327357755261,2320,,,,,
0.3716,5.369241237640381,1.5442322681215904e-05,0.2279812938425565,2340,,,,,
0.3638,8.673256874084473,1.5403351519875292e-05,0.2299298519095869,2360,,,,,
0.3578,7.142300605773926,1.5364380358534684e-05,0.2318784099766173,2380,,,,,
0.5251,8.614044189453125,1.5325409197194076e-05,0.2338269680436477,2400,,,,,
