timestamp_utc,dataset,model,train_limit,test_limit,accuracy,macro_f1,micro_f1,balanced_accuracy,mcc,auroc_ovr,pr_auc_macro,brier_score,ece_10bin
2026-03-20T08:23:20.121427+00:00,normbank,tfidf_logreg,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013243815806419695,0.015058248087792561
2026-03-20T08:23:51.078776+00:00,mfrc,tfidf_logreg,,,0.6638518999675219,0.21690285912413781,0.6638518999675219,0.20904951319910886,0.3071090999721591,0.8122247889028964,0.3724430971826469,0.47689867462943225,0.04377474738948096
2026-03-20T08:24:39.386046+00:00,ethics,tfidf_linearsvc,,,0.6565509290655093,0.6514811912414515,0.6565509290655093,0.6586376949501067,0.31120430989805664,0.7058749489555612,0.6004617057514419,0.43570524589830245,0.05119122848985437
2026-03-20T08:29:43.204384+00:00,normbank,tfidf_linearsvc,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.932488096948477e-06,0.00015784505679671776
2026-03-24T06:36:14.506331+00:00,ethics,tfidf_logreg,,,0.6579411365794113,0.6319017678654882,0.6579411365794113,0.6299594822668709,0.27012629084892376,0.697337882845741,0.5927475380060481,0.43715171679804116,0.06447531920195898
2026-03-24T06:37:38.339860+00:00,normbank,bow_mnb,,,0.9701193933526944,0.9619914669740295,0.9701193933526944,0.9656483651273561,0.9527563447235208,0.9900203141490392,0.9764531468686172,0.05430558825110628,0.0260629878907923632026-03-24T13:29:23.546156+00:00,ethics,tfidf_logreg,,,0.6579411365794113,0.6319017678654882,0.6579411365794113,0.6299594822668709,0.27012629084892376,0.697337882845741,0.5927475380060481,0.43715171679804116,0.06447531920195898
2026-03-24T13:29:42.938494+00:00,ethics,tfidf_linearsvc,,,0.6565509290655093,0.6514811912414515,0.6565509290655093,0.6586376949501067,0.31120430989805664,0.7058749681098706,0.6004612639401767,0.435705261447095,0.0511912825259558
2026-03-24T13:30:22.545018+00:00,normbank,tfidf_logreg,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013243815806419695,0.015058248087792561
2026-03-24T13:30:38.105024+00:00,normbank,bow_mnb,,,0.9701193933526944,0.9619914669740295,0.9701193933526944,0.9656483651273561,0.9527563447235208,0.9900203141490392,0.9764531468686172,0.05430558825110628,0.026062987890792363
2026-03-24T13:30:51.536063+00:00,mfrc,tfidf_logreg,,,0.6638518999675219,0.21690285912413781,0.6638518999675219,0.20904951319910886,0.3071090999721591,0.8122247889028964,0.3724430971826469,0.47689867462943225,0.04377474738948096
2026-03-24T13:31:05.669466+00:00,ethics,distilbert-base-uncased,,,0.6814729418147294,0.6657107500516237,0.6814729418147294,0.6645811933480474,0.331891073225452,0.7385333983947759,0.6617156245440781,0.48503140792309263,0.18942966890694019
2026-03-25T01:41:02.529166+00:00,ethics,distilbert-base-uncased,,,0.6795402142954021,0.6636251503617425,0.6795402142954021,0.6624914414355723,0.3277379080833755,0.7370408443284696,0.661163813251256,0.48621797149502977,0.19002995719567545
2026-03-25T13:55:04.069343+00:00,mfrc,distilbert-base-uncased,,,0.7021760311789542,0.3037365459064066,0.7021760311789542,0.3136231177299728,0.4444198430053946,0.8491087863833833,0.41865006072925554,0.4206430989642997,0.016248491047341603
2026-03-25T01:41:02.503166+00:00,ethics,bert-base-uncased,,,0.691272209412722,0.6791653801155235,0.691272209412722,0.6795280647288855,0.3583636943514664,0.7558067282490163,0.6785213954290734,0.4945323057648728,0.2122458107238965
2026-03-25T13:55:03.345430+00:00,mfrc,bert-base-uncased,,,0.7047742773627801,0.32201307824681746,0.7047742773627801,0.3301710076135508,0.4594288310023911,0.8544889130772438,0.42726974395951545,0.41232705318476215,0.024153726437371348
2026-03-25T13:55:04.193216+00:00,normbank,distilbert-base-uncased,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1790490062809394e-15,0.0
2026-03-25T13:08:06.007825+00:00,ethics,roberta-base,,,0.7281296622812966,0.7181257129260162,0.7281296622812966,0.7191215952478848,0.4364240223627175,0.8025097278631863,0.7304831764995732,0.45802125288887996,0.20398301297234625
2026-03-25T13:55:02.526792+00:00,ethics,microsoft/deberta-v3-base,,,0.8032686830326868,0.7963708746892594,0.8032686830326868,0.7982595781566957,0.5931218047876361,0.8822499031043347,0.8341221089958009,0.3399331859348369,0.1524021986780506
2026-03-26T16:18:52.570086+00:00,normbank,bert-base-uncased,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7437273153697907e-13,2.384185791015625e-07
2026-03-26T16:18:52.570086+00:00,normbank,roberta-base,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5829151489638612e-14,0.0
