loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.0734,12.952301025390625,2e-05,0.0006493506493506494,1,,,,,
1.6924,6.388981342315674,1.9753246753246754e-05,0.012987012987012988,20,,,,,
1.4178,5.7884321212768555,1.9493506493506496e-05,0.025974025974025976,40,,,,,
1.3842,4.3394551277160645,1.9233766233766236e-05,0.03896103896103896,60,,,,,
1.2205,8.485182762145996,1.8974025974025975e-05,0.05194805194805195,80,,,,,
1.2366,7.482393264770508,1.8714285714285717e-05,0.06493506493506493,100,,,,,
1.1626,8.019957542419434,1.8454545454545456e-05,0.07792207792207792,120,,,,,
1.3351,12.280671119689941,1.8194805194805195e-05,0.09090909090909091,140,,,,,
1.2502,8.388166427612305,1.7935064935064938e-05,0.1038961038961039,160,,,,,
1.0289,4.7711405754089355,1.7675324675324677e-05,0.11688311688311688,180,,,,,
1.0907,5.146897792816162,1.7415584415584416e-05,0.12987012987012986,200,,,,,
1.1667,6.748085021972656,1.715584415584416e-05,0.14285714285714285,220,,,,,
1.1016,16.244239807128906,1.6896103896103898e-05,0.15584415584415584,240,,,,,
1.2114,13.099900245666504,1.6636363636363637e-05,0.16883116883116883,260,,,,,
1.0687,8.61599063873291,1.6376623376623376e-05,0.18181818181818182,280,,,,,
1.1667,7.164405345916748,1.6116883116883118e-05,0.19480519480519481,300,,,,,
1.1521,8.787577629089355,1.5857142857142857e-05,0.2077922077922078,320,,,,,
0.9251,6.315258026123047,1.5597402597402596e-05,0.22077922077922077,340,,,,,
0.9876,9.894692420959473,1.533766233766234e-05,0.23376623376623376,360,,,,,
0.9614,11.538400650024414,1.5077922077922078e-05,0.24675324675324675,380,,,,,
1.2509,10.398609161376953,1.481818181818182e-05,0.2597402597402597,400,,,,,
1.0332,9.358335494995117,1.4558441558441561e-05,0.2727272727272727,420,,,,,
1.0328,6.539228916168213,1.42987012987013e-05,0.2857142857142857,440,,,,,
1.0318,15.130799293518066,1.4038961038961041e-05,0.2987012987012987,460,,,,,
1.0415,11.429389953613281,1.377922077922078e-05,0.3116883116883117,480,,,,,
1.025,6.43077278137207,1.3519480519480521e-05,0.3246753246753247,500,,,,,
1.0673,7.964702129364014,1.3259740259740262e-05,0.33766233766233766,520,,,,,
1.0016,9.017446517944336,1.3000000000000001e-05,0.35064935064935066,540,,,,,
0.9798,12.078120231628418,1.2740259740259742e-05,0.36363636363636365,560,,,,,
0.9741,16.912002563476562,1.2480519480519482e-05,0.37662337662337664,580,,,,,
1.0375,11.57269287109375,1.2220779220779222e-05,0.38961038961038963,600,,,,,
0.9888,11.152423858642578,1.1961038961038962e-05,0.4025974025974026,620,,,,,
1.0658,11.917590141296387,1.1701298701298701e-05,0.4155844155844156,640,,,,,
0.8712,8.399418830871582,1.1441558441558442e-05,0.42857142857142855,660,,,,,
0.997,8.216595649719238,1.1181818181818183e-05,0.44155844155844154,680,,,,,
1.0218,10.87836742401123,1.0922077922077922e-05,0.45454545454545453,700,,,,,
0.9457,10.311331748962402,1.0662337662337663e-05,0.4675324675324675,720,,,,,
1.0014,15.956073760986328,1.0402597402597404e-05,0.4805194805194805,740,,,,,
1.0039,5.926356792449951,1.0142857142857143e-05,0.4935064935064935,760,,,,,
1.071,11.405031204223633,9.883116883116885e-06,0.5064935064935064,780,,,,,
1.0378,7.620097637176514,9.623376623376624e-06,0.5194805194805194,800,,,,,
0.9358,8.850497245788574,9.363636363636365e-06,0.5324675324675324,820,,,,,
0.8553,5.634899139404297,9.103896103896104e-06,0.5454545454545454,840,,,,,
1.013,7.276539325714111,8.844155844155845e-06,0.5584415584415584,860,,,,,
0.9931,10.993817329406738,8.584415584415586e-06,0.5714285714285714,880,,,,,
0.7808,15.562735557556152,8.324675324675325e-06,0.5844155844155844,900,,,,,
0.8852,15.37177848815918,8.064935064935066e-06,0.5974025974025974,920,,,,,
0.909,8.844609260559082,7.805194805194806e-06,0.6103896103896104,940,,,,,
1.0114,7.161744594573975,7.545454545454546e-06,0.6233766233766234,960,,,,,
1.0591,8.06926155090332,7.285714285714286e-06,0.6363636363636364,980,,,,,
0.9159,12.875160217285156,7.025974025974026e-06,0.6493506493506493,1000,,,,,
1.176,8.647534370422363,6.766233766233766e-06,0.6623376623376623,1020,,,,,
0.9868,11.392769813537598,6.506493506493508e-06,0.6753246753246753,1040,,,,,
0.945,10.227381706237793,6.246753246753248e-06,0.6883116883116883,1060,,,,,
1.0351,9.965953826904297,5.987012987012988e-06,0.7012987012987013,1080,,,,,
1.046,7.649184703826904,5.727272727272728e-06,0.7142857142857143,1100,,,,,
0.8773,8.087296485900879,5.4675324675324685e-06,0.7272727272727273,1120,,,,,
0.9129,12.992493629455566,5.2077922077922085e-06,0.7402597402597403,1140,,,,,
